iter	Passed	Remaining
143	3667	9067
144	3693	9042
145	3715	9009
146	3739	8980
147	3762	8948
148	3783	8912
149	3805	8879
150	3832	8857
151	3860	8838
152	3882	8805
153	3902	8767
154	3926	8739
155	3945	8699
156	3963	8659
157	3988	8634
158	4012	8604
159	4031	8567
160	4050	8527
161	4070	8492
162	4091	8459
163	4111	8422
164	4132	8390
165	4160	8370
166	4185	8345
167	4208	8316
168	4226	8278
169	4246	8243
170	4267	8210
171	4287	8175
172	4308	8144
173	4330	8113
174	4355	8088
175	4375	8054
176	4394	8019
177	4412	7982
178	4434	7952
179	4455	7920
180	4473	7884
181	4492	7850
182	4526	7840
183	4556	7825
184	4577	7793
185	4598	7762
186	4619	7731
187	4638	7698
188	4659	7666
189	4684	7643
190	4706	7613
191	4729	7587
192	4749	7554
193	4770	7524
194	4798	7505
195	4819	7475
196	4844	7450
197	4867	7424
198	4890	7397
199	4913	7369
200	4932	7338
201	4951	7304
202	4970	7272
203	4993	7245
204	5013	7215
205	5035	7187
206	5059	7161
207	5079	7130
208	5099	7100
209	5119	7069
210	5142	7043
211	5162	7013
212	5182	6982
213	5205	6957
214	5228	6931
215	5250	6903
216	5269	6872
217	5291	6845
218	5312	6815
219	5330	6784
220	5349	6753
221	5370	6725
222	5393	6699
223	5414	6671
224	5437	6645
225	5457	6616
226	5478	6588
227	5496	6557
228	5519	6531
229	5541	6505
230	5562	6477
231	5585	6452
232	5608	6427
233	5629	6399
234	5650	6372
235	5672	6345
236	5691	6316
237	5711	6286
238	5732	6260
239	5756	6235
240	5777	6209
241	5796	6180
242	5814	6149
243	5835	6122
244	5854	6093
245	5872	6063
246	5891	6034
247	5917	6013
248	5938	5986
249	5959	5959
250	5980	5932
251	6001	5905
252	6019	5877
253	6039	5849
254	6062	5824
255	6086	5801
256	6115	5782
257	6134	5754
258	6155	5727
259	6179	5704
260	6198	5675
261	6217	5647
262	6235	5619
263	6299	5631
264	6413	5687
265	6462	5685
266	6486	5660
267	6514	5639
268	6535	5612
269	6554	5583
270	6574	5555
271	6594	5527
272	6614	5499
273	6636	5473
274	6661	5450
275	6682	5423
276	6707	5400
277	6727	5372
278	6748	5345
279	6768	5318
280	6790	5291
281	6815	5268
282	6842	5246
283	6863	5220
284	6883	5192
285	6904	5166
286	6925	5139
287	6945	5112
288	6967	5087
289	6989	5061
290	7011	5035
291	7035	5011
292	7055	4984
293	7076	4958
294	7096	4931
295	7118	4906
296	7139	4880
297	7161	4854
298	7186	4831
299	7210	4806
300	7236	4784
301	7256	4757
302	7280	4733
303	7304	4709
304	7325	4683
305	7345	4656
306	7367	4631
307	7390	4607
308	7416	4584
309	7437	4558
310	7457	4532
311	7481	4507
312	7501	4481
313	7520	4454
314	7539	4427
315	7557	4400
316	7577	4374
317	7601	4350
318	7624	4326
319	7649	4302
320	7669	4276
321	7688	4250
322	7711	4226
323	7732	4200
324	7753	4174
325	7773	4149
326	7796	4124
327	7820	4100
328	7860	4085
329	7881	4060
330	7900	4033
331	7922	4009
332	7944	3983
333	7965	3958
334	7984	3932
335	8010	3909
336	8032	3885
337	8058	3862
338	8078	3836
339	8100	3811
340	8126	3789
341	8156	3768
342	8180	3744
343	8207	3722
344	8228	3696
345	8249	3671
346	8271	3647
347	8291	3621
348	8309	3595
349	8329	3569
350	8358	3547
351	8386	3525
352	8417	3505
353	8451	3485
354	8488	3467
355	8519	3446
356	8550	3425
357	8586	3405
358	8618	3384
359	8644	3361
360	8676	3340
361	8714	3321
362	8744	3300
363	8773	3278
364	8826	3264
365	8855	3242
366	8884	3219
367	8917	3198
368	8942	3174
369	8970	3151
370	8996	3128
371	9031	3107
372	9073	3089
373	9121	3073
374	9171	3057
375	9211	3037
376	9252	3018
377	9283	2996
378	9313	2973
379	9353	2953
380	9391	2933
381	9476	2927
382	9647	2947
383	9700	2930
384	9732	2907
385	9766	2884
386	9796	2860
387	9837	2839
388	9864	2814
389	9896	2791
390	9940	2771
391	9968	2746
392	9999	2722
393	10039	2700
394	10075	2678
395	10106	2654
396	10150	2633
397	10183	2609
398	10225	2588
399	10266	2566
400	10300	2542
401	10332	2518
402	10369	2495
403	10403	2472
404	10431	2446
405	10463	2422
406	10501	2399
407	10537	2376
408	10567	2351
409	10598	2326
410	10634	2302
411	10672	2279
412	10707	2255
413	10750	2233
414	10782	2208
415	10817	2184
416	10858	2161
417	10897	2137
418	10925	2112
419	10961	2087
420	10994	2063
421	11026	2038
422	11060	2013
423	11091	1988
424	11123	1963
425	11168	1940
426	11202	1915
427	11238	1890
428	11282	1867
429	11316	1842
430	11346	1816
431	11377	1790
432	11403	1764
433	11434	1738
434	11479	1715
435	11512	1689
436	11537	1663
437	11563	1636
438	11591	1610
439	11615	1583
440	11648	1558
441	11684	1533
442	11727	1508
443	11759	1483
444	11791	1457
445	11823	1431
446	11850	1405
447	11880	1379
448	11915	1353
449	11952	1328
450	11988	1302
451	12030	1277
452	12073	1252
453	12110	1227
454	12144	1201
455	12173	1174
456	12205	1148
457	12241	1122
458	12274	1096
459	12305	1070
460	12340	1043
461	12377	1018
462	12421	992
463	12462	966
464	12507	941
465	12539	914
466	12583	889
467	12617	862
468	12657	836
469	12691	810
470	12725	783
471	12757	756
472	12786	729
473	12810	702
474	12849	676
475	12889	649
476	12930	623
477	12979	597
478	13006	570
479	13038	543
480	13069	516
481	13100	489
482	13128	462
483	13153	434
484	13178	407
485	13204	380
486	13230	353
487	13254	325
488	13277	298
489	13303	271
490	13329	244
491	13353	217
492	13378	189
493	13401	162
494	13426	135
495	13450	108
496	13476	81
497	13501	54
498	13528	27
499	13552	0
