iter	RMSE
0	1.989832418
1	1.891327832
2	1.793091419
3	1.703891338
4	1.627555338
5	1.555642041
6	1.484278889
7	1.415915504
8	1.35218159
9	1.30172335
10	1.253967113
11	1.21390039
12	1.16822911
13	1.130861694
14	1.096642281
15	1.059943809
16	1.027389611
17	1.002914289
18	0.9764941506
19	0.9529690197
20	0.933316156
21	0.9097134506
22	0.8883184645
23	0.873119554
24	0.8582863777
25	0.8419623477
26	0.8260540151
27	0.816649091
28	0.8043594377
29	0.7924274169
30	0.7821897592
31	0.7727803927
32	0.7601676209
33	0.7512664065
34	0.7455488723
35	0.7368803203
36	0.7273366698
37	0.7200734599
38	0.7142172464
39	0.7075071994
40	0.6993195999
41	0.6925791195
42	0.6849360886
43	0.6813590795
44	0.6768810964
45	0.6723147786
46	0.6688712964
47	0.6646174281
48	0.6604419557
49	0.6557291321
50	0.6503856804
51	0.6463650541
52	0.6411367993
53	0.6361708267
54	0.6333868684
55	0.6302039199
56	0.6270201768
57	0.6224535879
58	0.6188108926
59	0.6154378007
60	0.6113606902
61	0.6086287605
62	0.6050608823
63	0.6021837243
64	0.5979998238
65	0.5898098529
66	0.5857378354
67	0.5846987679
68	0.5816130149
69	0.5774906957
70	0.5741267694
71	0.5707393994
72	0.5688255821
73	0.5668967302
74	0.5641119663
75	0.5611053745
76	0.5580319204
77	0.5535575772
78	0.5482353122
79	0.5438321171
80	0.540723747
81	0.5377156281
82	0.5334684607
83	0.5317793942
84	0.5293307321
85	0.5260388066
86	0.523611258
87	0.5203129885
88	0.5171521168
89	0.5140736481
90	0.5117239968
91	0.507821529
92	0.5029770454
93	0.5001418042
94	0.4959687851
95	0.4928227999
96	0.4889582958
97	0.4876182905
98	0.4864673763
99	0.48174333
100	0.480887534
101	0.4795699114
102	0.4760914021
103	0.4753999093
104	0.4721095236
105	0.4686666382
106	0.4653125872
107	0.4623167302
108	0.4598630196
109	0.4577740084
110	0.4548744673
111	0.4526729627
112	0.4490609196
113	0.4463712085
114	0.4441158947
115	0.4415393012
116	0.4396181623
117	0.4374615609
118	0.4369155796
119	0.4347266828
120	0.4337519789
121	0.4307360203
122	0.4286595229
123	0.4265639524
124	0.4257360827
125	0.4234325861
126	0.423161993
127	0.4214771846
128	0.4210882317
129	0.4178415367
130	0.4150056417
131	0.4122180343
132	0.4093334044
133	0.4066687999
134	0.4064039588
135	0.4057253552
136	0.4032043433
137	0.4009711933
138	0.4003686167
139	0.3977065678
140	0.3957644559
141	0.3955295697
142	0.3953287401
143	0.3927488341
144	0.3906058713
145	0.3900432274
146	0.3852769699
147	0.3850814662
148	0.3830277832
149	0.3825161903
150	0.3806855234
151	0.3803014057
152	0.3777666736
153	0.3774733954
154	0.3770966323
155	0.3754404885
156	0.3733867544
157	0.373225765
158	0.3728258671
159	0.3722410473
160	0.3698584186
161	0.3686050185
162	0.3668613103
163	0.3641061487
164	0.3639742466
165	0.3619874123
166	0.3609927249
167	0.3606659291
168	0.3588667832
169	0.3573742203
170	0.3554938773
171	0.3538213887
172	0.3535468882
173	0.3511643989
174	0.3490898654
175	0.3472744853
176	0.3462941848
177	0.3452171874
178	0.3438272143
179	0.3433121688
180	0.3420809424
181	0.3398833295
182	0.3396952809
183	0.3395479697
184	0.338644487
185	0.3363852504
186	0.334614167
187	0.3320330714
188	0.3304995227
189	0.3280851123
190	0.3270590012
191	0.3258955969
192	0.3238271069
193	0.3226240758
194	0.3206304133
195	0.3191149632
196	0.3188449104
197	0.3170061607
198	0.3168182184
199	0.3156219867
200	0.3147530361
201	0.3142929016
202	0.3124103651
203	0.3112506188
204	0.3110105167
205	0.3096373281
206	0.3082550449
207	0.3067395434
208	0.3048321993
209	0.3036343909
210	0.3020382612
211	0.3013913699
212	0.299535247
213	0.29838693
214	0.2970781172
215	0.2968392159
216	0.2961726507
217	0.295051503
218	0.2945107357
219	0.2933160187
220	0.2915259193
221	0.2909301727
222	0.2899483857
223	0.2889737988
224	0.2875126844
225	0.2859354096
226	0.2836505003
227	0.2834787838
228	0.2825052233
229	0.2810922245
230	0.2797748357
231	0.2781199181
232	0.277713876
233	0.2775924619
234	0.2758543564
235	0.2743650301
236	0.2733179002
237	0.2720877422
238	0.2703335534
239	0.268943153
240	0.2678351079
241	0.26677261
242	0.266229776
243	0.2648231224
244	0.2633743879
245	0.2632480142
246	0.2616663494
247	0.2607925341
248	0.2593325884
249	0.2582520438
250	0.2573399492
251	0.2557151009
252	0.2553896719
253	0.2541181709
254	0.253223733
255	0.2519787425
256	0.2512100734
257	0.2504817551
258	0.2495355533
259	0.2486585165
260	0.2484451988
261	0.248303812
262	0.2472278222
263	0.2462247668
264	0.2455637884
265	0.2446046497
266	0.2433830849
267	0.2431798096
268	0.2419237505
269	0.241214165
270	0.2404939388
271	0.2394607187
272	0.2386800019
273	0.2368258041
274	0.2358414033
275	0.2352922579
276	0.2348704617
277	0.2342608147
278	0.2335111482
279	0.2327148172
280	0.231891903
281	0.2312588685
282	0.2305848062
283	0.2297478092
284	0.2289869429
285	0.2280268655
286	0.2268370119
287	0.2258489963
288	0.2254897683
289	0.2249033519
290	0.2242502054
291	0.2229766685
292	0.2228266949
293	0.2221692131
294	0.2217767866
295	0.2208033068
296	0.2206277741
297	0.2201435864
298	0.2200527513
299	0.2193623746
300	0.2188787013
301	0.217992611
302	0.2179123297
303	0.2170392139
304	0.2163862084
305	0.215821321
306	0.2156101146
307	0.2155086731
308	0.2153974375
309	0.2144621339
310	0.2137141072
311	0.2130069919
312	0.2123334815
313	0.2116104047
314	0.2106666968
315	0.2099513646
316	0.2094060998
317	0.2084602901
318	0.2074446987
319	0.2067164362
320	0.2058612129
321	0.204816077
322	0.2042556734
323	0.2032912547
324	0.202752386
325	0.20205985
326	0.2016506113
327	0.2008598796
328	0.2003123994
329	0.1995123999
330	0.1993022665
331	0.1986170305
332	0.1984934924
333	0.1977335142
334	0.1972764967
335	0.1963770826
336	0.1956851963
337	0.1953966264
338	0.1946270715
339	0.1940201598
340	0.1932077279
341	0.192973752
342	0.1925947374
343	0.1916822011
344	0.1915925128
345	0.1905980827
346	0.1899270793
347	0.1894366055
348	0.1893576467
349	0.189200511
350	0.1887487884
351	0.1883072751
352	0.1874240677
353	0.1864973417
354	0.1864158273
355	0.1857760936
356	0.1847972196
357	0.1841659453
358	0.1840960599
359	0.1840339015
360	0.1830093353
361	0.1824909422
362	0.1824329904
363	0.181516362
364	0.1810612531
365	0.18034068
366	0.1802736925
367	0.1796754989
368	0.1796379781
369	0.179581743
370	0.1790824259
371	0.1786510892
372	0.1781159505
373	0.1780755949
374	0.1780174684
375	0.1776276485
376	0.1775778184
377	0.1775321781
378	0.1772531711
379	0.1768560685
380	0.1762277025
381	0.1761629189
382	0.1756218159
