iter	RMSE
383	0.1749693699
384	0.1742624496
385	0.1739358884
386	0.173854895
387	0.1732435446
388	0.1727726035
389	0.1726883339
390	0.172106785
391	0.171720045
392	0.171230418
393	0.1704999413
394	0.1704580647
395	0.1697168012
396	0.169653874
397	0.169057856
398	0.1687166593
399	0.1686772362
400	0.1686443836
401	0.1684530616
402	0.1678463321
403	0.1672609996
404	0.1666133218
405	0.166491655
406	0.165952224
407	0.1652940993
408	0.1652323489
409	0.1646207197
410	0.1642293406
411	0.1634134139
412	0.1630035769
413	0.162197146
414	0.1621511946
415	0.1615562396
416	0.161377086
417	0.1612671601
418	0.1610382087
419	0.1604596147
420	0.1600180507
421	0.1596383741
422	0.1594721185
423	0.1586539439
424	0.1583843463
425	0.1579376959
426	0.1579075837
427	0.1573586955
428	0.1573196503
429	0.156783129
430	0.1565280101
431	0.1560401283
432	0.1560127324
433	0.1553947194
434	0.155341759
435	0.1548792503
436	0.1548485143
437	0.1546866424
438	0.1543186762
439	0.1541180531
440	0.1537770158
441	0.1531973283
442	0.152608258
443	0.1525599392
444	0.152097635
445	0.1517016821
446	0.1510740288
447	0.1509151214
448	0.150692347
449	0.1505124933
450	0.1504720889
451	0.1499176171
452	0.1496988482
453	0.1491904108
454	0.1490385624
455	0.1487870471
456	0.1483515855
457	0.1480385324
458	0.1478194053
459	0.1476154002
460	0.1475806237
461	0.147090303
462	0.14677516
463	0.1464100688
464	0.1463633529
465	0.1459633581
466	0.1455148844
467	0.1450809567
468	0.1445576301
469	0.1441385682
470	0.1435751001
471	0.1431420816
472	0.1427554871
473	0.1423442215
474	0.1422300379
475	0.1421454738
476	0.1417612732
477	0.1412154265
478	0.1411827951
479	0.1411576473
480	0.1407550132
481	0.1403381837
482	0.1398846965
483	0.1397815076
484	0.1394008853
485	0.1390327571
486	0.1384018487
487	0.1377803893
488	0.1374102325
489	0.1370374519
490	0.1369314444
491	0.1367653955
492	0.1367327929
493	0.1362506381
494	0.1360669548
495	0.1360331038
496	0.1359935934
497	0.1355352336
498	0.134970077
499	0.1346281449
